"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S0179","SAMSING SUNTALEY GOVERNMENT PRIMARY SCHOOL","Available","25","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0480","SAMTAR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0983","SANCTUARY ACADEMY, SIKIP","Not Available","0","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0116","SANG GOVERNMENT SENIOR SECONDARY SCHOOL","Available","1500","Available","7","Available","Available","1","Not Available","Not Available"
"S0511","SANG TSHALUMTHANG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S1237","SANGAM ACADEMY","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0675","SANGANATH GOVERNMENT SECONDARY SCHOOL","Available","20","Available","1","Available","Available","1","Available","Not Available"
"S0066","SANGKALANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0221","SANGKHOLA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0581","SANGKHOLA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0404","SANGMOO GOVERNMENT SECONDARY SCHOOL","Available","150","Available","4","Available","Available","1","Available","Not Available"
"S0010","SANGTOK GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0367","SANKHU GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Not Available","Available"
"S0528","SAPREY-NAGI GOVERNMENT PRIMARY SCHOOL","Available","25","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0359","SAPUNG GOVERNMENT PRIMARY SCHOOL","Available","31","Available","2","Available","Available","1","Not Available","Not Available"
"S1056","SARASWATI BAL VIDHYALAYA, BUDHABAREY BERMOIK","Available","420","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0832","SARASWATI BAL VIDYALAYA , LOWER PHALIDARA","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0926","SARASWATI SHISHU NIKETAN, LINGTAM","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S1230","SARASWATI SHISHU VIDHYALAYA, BUDANG","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1007","SARASWATI SHISHU VIDYALAYA, DALEP","Not Available","0","Available","1","Not Available","Available","1","Available","Available"
"S1213","SARASWATI SHISHU VIDYALAYA, NAMPHING","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1111","SARASWATI SHISU MANDIR, TINTEK","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
