"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S0650","HARRABOTEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0742","HATHIDHUNGA GOVERNMENT SECONDARY SCHOOL","Available","170","Available","4","Available","Available","1","Available","Available"
"S1424","HEBRON ACADEMY, DENCHUNG","Available","100","Available","2","Available","Available","1","Available","Not Available"
"S0012","HEE- GYATHANG GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0372","HEE SAPUNG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0370","HEE TAMABONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Available"
"S0709","HEE YANGTHANG GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Not Available","0","Available","Available","2","Not Available","Available"
"S0712","HEE-MAJHGAON GOVERNMENT PRIMARY SCHOOL","Available","20","Available","2","Available","Available","1","Not Available","Not Available"
"S0333","HEE-PATAL GOVERNMENT JUNIOR HIGH SCHOOL","Available","45","Available","3","Available","Not Available","0","Not Available","Not Available"
"S0348","HEE-PECHREAK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0817","HEPH-ZI-BHA ENGLISH SCHOOL, RANGUTHANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1125","HILL BUDS ACADEMY, DEYTHANG","Available","1","Available","1","Available","Available","1","Not Available","Not Available"
"S1218","HILLS CROWN ACADEMY, DODAK","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1106","HIMALAYAN ACADEMY , SORENG","Available","1265","Available","3","Available","Available","1","Not Available","Available"
"S1134","HIMALAYAN ACADEMY, LUNGCHOK","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1153","HIMALAYAN ACADEMY, RANIPOOL","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1081","HIMALAYAN BAPTIST ENGLISH SCHOOL","Available","500","Available","2","Not Available","Available","2","Not Available","Available"
"S1022","HIMALAYAN ENGLISH ACADEMY, SAGBARI","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S1138","HIMALAYAN GRACE ACADEMY, CHISOPANI","Not Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"C1352","HIMALAYAN PHARMACHY INSTITUTE","Available","5499","Available","0","Available","Available","0","Available","Available"
"S1047","HIMALAYAN RADIANT ACADEMY, TASHIDING","Not Available","0","Available","0","Available","Not Available","0","Not Available","Not Available"
"S1027","HIMALAYAN RISING ACADEMY, OKHREY","Available","300","Available","1","Not Available","Not Available","0","Not Available","Available"
"S0842","HIMALAYAN SARASWATI VIDYALAYA , KABREY","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1004","HIMALAYAN SCHOOL, GANCHUNG","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1008","HIMALAYAN SCHOOL, TEMI","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0967","HOLY CROSS SCHOOL, TADONG","Available","11853","Available","19","Not Available","Available","5","Available","Available"
"S1024","HOLY CROSS, YANGSUM","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1012","HOLY FAITH ENGLISH SCHOOL 14 MILE, RAVANGLA, KEWZING ROAD","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1011","HOLY FAITH ENGLISH SCHOOL, LINGZOO","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0315","HOORGAON GOVERNMENT PRIMARY SCHOOL","Available","100","Available","2","Available","Not Available","0","Not Available","Not Available"
"S1478","HOPE ACADEMY","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0841","HOSANNA JUNIOR HIGH SCHOOL, BIKMAT","Not Available","0","Not Available","0","Not Available","Available","0","Not Available","Not Available"
"C1373","ICFAI, GANGTOK","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1017","IDEAL ACADEMY, DALEP","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0992","IDEAL NURSERY MANGAN, MANGAN","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S1150","INDRA MEMORIAL ACADEMY, LINGDUM","Available","0","Available","2","Available","Available","1","Available","Available"
"S0918","INDRAKIL SARASWATI VIDYALAYA, RANIPOOL","Available","200","Not Available","0","Available","Available","1","Not Available","Not Available"
"C1372","INDUSTRIAL TRANING INSTITUTE, GYALSHING","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1186","IVANA MEMORIAL SCHOOL, RANGPO MAMRING","Available","0","Available","3","Not Available","Available","1","Not Available","Available"
"S1200","J.M.K MEMORIAL SCHOOL, NAMCHI","Available","2000","Available","1","Available","Available","1","Available","Not Available"
"S0524","JAMBUDARA GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0730","JAUBARI GOVERNMENT PRIMARY SCHOOL","Available","53","Available","2","Available","Available","1","Not Available","Not Available"
"S1159","JAWAHAR NAVODAYA VIDYALAYA, PHODONG","Available","0","Available","55","Available","Available","1","Not Available","Available"
"S1240","JAWAHAR NAVODAYA VIDYALAYA, RAVANGLA","Available","0","Available","65","Available","Available","1","Not Available","Available"
"S1206","JAWAHARLAL NEHRU MEMORIAL INST. FOR HANDICAPPED BOOMTAR","Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1195","JEEWAN JYOTI ACADEMY, NINGANG SANGMOO","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0398","JERMAN LEPCHA GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Available","Not Available"
"S0328","JHANKRIDHUNGA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S0594","JHOLUNGEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0718","JHUSINGTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Available","30","Available","3","Available","Not Available","0","Not Available","Not Available"
"S0694","JORETHANG GOVERNMENT SENIOR SECONDARY SCHOOL","Available","215","Available","5","Available","Available","2","Not Available","Not Available"
"S0963","JOYBELLS SCHOOL, TADONG","Available","1500","Available","4","Available","Available","2","Available","Available"
"S0972","JUBILANT ENGLISH SCHOOL, PHODONG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0925","JUBILANT SCHOOL, CHANDMARI","Not Available","0","Available","4","Available","Available","1","Available","Available"
"S1263","JUVENTUS ACADEMY, TEMI","Available","25","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0753","K.B.LIMBOO GOVERNMENT SENIOR SECONDARY SCHOOL","Available","275","Available","5","Available","Available","1","Not Available","Not Available"
"S0320","KABIRTHANG GOVERNMENT PRIMARY SCHOOL","Available","120","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0396","KABREY GOVERNMENT SECONDARY SCHOOL","Available","150","Available","5","Not Available","Available","1","Available","Not Available"
"S0238","KAIYONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0553","KAIZALEY GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1055","KALEZ VALLEY ENGLISH SCHOOL, LOWER MUKRUNG","Available","150","Not Available","0","Not Available","Available","1","Not Available","Available"
"S0725","KALUK GOVERNMENT SENIOR SECONDARY SCHOOL","Available","300","Available","8","Available","Available","1","Not Available","Not Available"
"S0040","KALZANG GYATSO GOVERNMENT SENIOR SECONDARY SCHOOL","Available","100","Available","3","Available","Available","1","Not Available","Available"
"S0623","KAMARGOAN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","0","Available","Not Available","0","Not Available","Not Available"
"S0475","KAMBAL GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0245","KAMERAY GOVERNMENT PRIMARY SCHOOL (E)","Not Available","0","Available","2","Not Available","Available","1","Available","Not Available"
"S0775","KAMEREY GOVERNMENT JUNIOR HIGH SCHOOL (S)","Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0258","KAMLING GOVERNMENT SECONDARY SCHOOL","Available","171","Available","5","Available","Available","1","Not Available","Not Available"
"S0401","KAMRANG GOVERNMENT SECONDARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S1173","KANCHANJUNGHA ACADEMY,TATENKHA KABI","Available","170","Available","1","Not Available","Available","1","Not Available","Available"
"S0140","KAPUTHANG GOVERNMENT PRIMARY SCHOOL","Available","12","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0606","KAREK JOGIDARA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0290","KARJEE GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","4","Not Available","Not Available","0","Not Available","Not Available"
"S1144","KARMA DHARMA CHAKRA SCHOOL, RUMTEK","Available","4000","Available","2","Available","Available","1","Not Available","Not Available"
"S0282","KARTHOK GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0385","KARTIKEY GOVERNMENT JUNIOR HIGH SCHOOL","Available","109","Available","4","Available","Available","1","Not Available","Not Available"
"S0147","KARTOK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0664","KARUNGTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S1477","KASTURVA GANDHI BALIKA VIDHYALAYA","Available","250","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0103","KATARBOTEY GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Available","Available"
"S0562","KATENG DINGTAR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S0695","KATENG GOVERNMENT SECONDARY SCHOOL","Available","224","Available","5","Available","Available","1","Available","Not Available"
"S0595","KATENG MAKERZONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0202","KATUK VIDHYA SAGAR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0666","KAU GOVERNMENT PRIMARY SCHOOL","Available","79","Available","2","Not Available","Available","1","Not Available","Not Available"
"S1094","KEN ENGLISH MEDIUM SCHOOL, MANGSARI","Available","800","Available","2","Available","Available","2","Available","Available"
"S1256","KENDRIYA VIDHYALAYA, GANGTOK","Available","1500","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S1259","KENDRIYA VIDYALAYA NHPC, SINGTAM","Available","5932","Available","1","Available","Available","1","Available","Available"
"S0418","KEWZING GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","2","Available","Available"
"S0636","KEWZING TEA GARDEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0487","KHAMDONG SONAMATI MEMORIAL GOVERNMENT SENIOR SECONDARY SCHOOL","Available","200","Available","6","Available","Available","1","Available","Available"
"S0259","KHANDU GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Not Available","Not Available","0","Not Available","Not Available"
"S0157","KHANI GOAN GOVERNMENT PRIMARY SCHOOL","Available","60","Available","2","Not Available","Available","1","Available","Not Available"
"S0807","KHANISERBONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0548","KHAYERBOTAY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0254","KHECHUPERI GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0289","KHORONG GOVERNMENT PRIMARY SCHOOL","Available","30","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0525","KHUTTIDARA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0921","KIDDIES CORNER AN ENGLISH FOUNDATION SCHOOL, UPPER SICHEY","Available","300","Available","2","Available","Not Available","0","Not Available","Not Available"
"S1377","KIDDIES UNIQUE ACADEMY","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0980","KIDS FOUNDATION SCHOOL, NAMOK","Available","10","Available","1","Not Available","Available","1","Available","Available"
"S0894","KIDS WORLD SCHOOL, PENLONG","Available","100","Available","1","Available","Available","1","Not Available","Available"
"S0837","KINCHIN CASTLE ACADEMY, SINGTHANG","Not Available","0","Available","1","Not Available","Available","1","Not Available","Available"
"S0849","KING GEORGE ACADEMY, SINGTAM","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0403","KITAM GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","2","Available","Available","1","Available","Not Available"
"S0615","KITCHU-DUMRA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Available","Not Available"
"S0295","KOLBONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0704","KONABAR GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0363","KONGRI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0608","KOPCHEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0772","KUBINDAY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0151","KUMREK GOVERNMENT PRIMARY SCHOOL","Available","70","Available","2","Not Available","Available","1","Not Available","Not Available"
"S1244","KUSHANG MEMORIAL ENGLISH SCHOOL, THARPU","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S1149","KYI-DE-KHANG SECONDARY SCHOOL, SICHEY","Available","0","Available","5","Available","Available","3","Available","Available"
"S0265","KYONGSA GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S1242","LABDANG ENGLISH SCHOOL, LABDANG","Not Available","0","Available","1","Not Available","Available","1","Available","Not Available"
"S0360","LABDANG GOVERNMENT SECONDARY SCHOOL","Available","150","Available","1","Available","Available","1","Not Available","Not Available"
"S0008","LABI RANGDAM GOVERNMENT PRIMARY SCHOOL","Available","50","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0539","LABING GOVERNMENT PRIMARY SCHOOL","Available","358","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0011","LACHEN GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","6","Available","Available","1","Not Available","Not Available"
"S0756","LACHUNG GOVERNMENT SECONDARY SCHOOL","Available","200","Available","5","Available","Available","1","Available","Not Available"
"S0631","LAMATEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0191","LAMATEN GOVERNMENT PRIMARY SCHOOL (E)","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0297","LAMATHANG GOVERNMENT PRIMARY SCHOOL","Available","28","Available","2","Available","Available","1","Not Available","Not Available"
"S0280","LANGANG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0496","LATUK GOVERNMENT PRIMARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0052","LAVEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0467","LAXMINIKETAN VIDHYA MANDIR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0638","LEGSHIP DHARGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0271","LEGSHIP GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0424","LEGSHIP-HINGDAM GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","0","Available","Not Available","0","Not Available","Not Available"
"S0777","LETHANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Available"
"S0706","LIDUNG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S1041","LIFE VISION ACADEMY, YUKSAM","Available","200","Available","2","Not Available","Available","1","Not Available","Not Available"
"S1163","LIGHT OF LIFE ACADEMY, MELLI BAZAR","Available","200","Available","1","Available","Available","1","Not Available","Available"
"S1077","LILIUM ACADEMY, SINGLING","Available","300","Available","1","Available","Available","1","Not Available","Available"
"S1480","LILLY FIELD ACADEMY, Upper Thambong","Not Available","0","Available","1","Available","Available","1","Not Available","Available"
"S0459","LINGCHOM GOVERNMENT PRIMARY SCHOOL","Available","22","Available","2","Available","Available","1","Not Available","Not Available"
"S0317","LINGCHOM GOVERNMENT SECONDARY SCHOOL","Available","300","Available","5","Available","Available","1","Not Available","Not Available"
"S0055","LINGDEM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","4","Not Available","Available","1","Not Available","Not Available"
"S0212","LINGDING GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Available"
"S0248","LINGDOK GOVERNMENT SENIOR SECONDARY SCHOOL","Available","576","Available","8","Available","Available","1","Not Available","Not Available"
"S0197","LINGDONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0565","LINGEE GOVERNMENT SENIOR SECONDARY SCHOOL","Available","1100","Available","6","Not Available","Not Available","0","Not Available","Not Available"
"S0697","LINGEE KARJEE GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Not Available"
"S0665","LINGEE PAIYONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","4","Not Available","Not Available","0","Not Available","Not Available"
"S0063","LINGKOO GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0769","LINGMOO PEPTHANG GOVERNMENT PRIMARY SCHOOL","Available","83","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0568","LINGMOO-KOLTHANG GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Available","6","Available","Available","1","Not Available","Not Available"
"S0112","LINGTAM GOVERNMENT SECONDARY SCHOOL","Available","1000","Available","6","Available","Available","1","Available","Available"
"S0025","LINGTHEM GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0064","LINGTYANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0632","LINGYONG GOVERNMENT JUNIOR HIGH SCHOOL","Available","10","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0419","LINGZOO GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0767","LINGZYA GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0083","LINKEY GOVERNMENT SECONDARY SCHOOL","Available","800","Available","5","Available","Available","1","Not Available","Not Available"
"S1093","LITTLE ANGEL ACADEMY , PIPALAY","Not Available","0","Available","0","Available","Not Available","0","Not Available","Not Available"
"S1209","LITTLE ANGEL ACADEMY, PERBING","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0956","LITTLE ANGEL ENGLISH SCHOOL, NANDOK","Available","200","Available","16","Not Available","Available","1","Not Available","Not Available"
"S1154","LITTLE ANGEL ENGLISH SCHOOL, UPPER AHO","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1229","LITTLE ANGEL PRIMARY SCHOOL, KADAMTAM","Not Available","0","Available","2","Available","Available","1","Not Available","Available"
"S0951","LITTLE ANGELS ACADEMY ,DEVELOPMENT AREA","Available","60","Available","0","Not Available","Available","1","Not Available","Not Available"
"S1185","LITTLE ANGELS ACADEMY, JORETHANG","Available","89","Available","1","Available","Available","1","Not Available","Available"
"S1201","LITTLE ANGELS ACADEMY, LOWER NAMPHING","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S0855","LITTLE ANGELS SCHOOL, PADAMCHEY","Not Available","0","Available","1","Not Available","Available","1","Available","Not Available"
"S0865","LITTLE BELLS SCHOOL, RANGPO","Available","250","Available","2","Available","Available","1","Available","Available"
"S1425","LITTLE BUDS ACADEMY,RATEYPANI","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0997","LITTLE FLOWER SCHOOL, MANGAN","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0995","LITTLE FLOWER SCHOOL, PAKSHAK","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1420","LITTLE HEAVEN ACADEMY","Available","90","Available","2","Available","Available","1","Available","Available"
"S1260","LITTLE KIDS ACADEMY, NAMBU","Available","50","Available","0","Available","Available","1","Not Available","Not Available"
"S1009","LITTLE SCHOLARS ACADEMY, RABONGLA","Available","200","Available","1","Available","Available","1","Available","Available"
"S1258","LITTLE STARS ACADEMY, DOKCHEN","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0171","LOK DARA GOVERNMENT PRIMARY SCHOOL","Available","10","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0079","LONGBU GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0989","LORETO SCHOOL, UPPER SUKRABAREY","Not Available","0","Available","1","Available","Available","1","Not Available","Available"
"S0498","LOSSING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0648","LOWER ASSANGTHANG GOVERNMENT PRIMARY SCHOOL","Available","50","Available","2","Not Available","Not Available","0","Available","Not Available"
"S0118","LOWER BERING GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Available","Not Available"
"S0323","LOWER BERMIOK GOVERNMENT SECONDARY SCHOOL","Available","150","Available","4","Available","Available","1","Not Available","Not Available"
"S0302","LOWER BHALUTHANG GOVERNMENT PRIMARY SCHOOL","Available","10","Available","2","Available","Available","1","Not Available","Not Available"
"S0763","LOWER BOOMTAR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0681","LOWER BORONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0573","LOWER BROOM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0502","LOWER BURTUK GOVERNMENT PRIMARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0431","LOWER CHHALAMTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0325","LOWER CHONGRANG GOVERNMENT JUNIOR HIGH SCHOOL","Available","110","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S0165","LOWER DALAPCHAND GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0440","LOWER GOAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0722","LOWER HATHIDHUNGA GOVERNMENT PRIMARY SCHOOL","Available","62","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0679","LOWER JARRONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Available"
"S0593","LOWER JAUBARI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0495","LOWER KADAMTAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Available","Not Available"
"S0486","LOWER KAMBAL GOVERNMENT PRIMARY SCHOOL","Available","67","Available","2","Available","Available","1","Not Available","Not Available"
"S0741","LOWER KARTHOK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0607","LOWER KITAM GOVERNMENT PRIMARY SCHOOL","Available","41","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0491","LOWER LUING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0301","LOWER MANGNAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0035","LOWER MANGSHILA GOVERNMENT PRIMARY SCHOOL(JHUSING)","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0613","LOWER MIKKHOLA DARAGAON GOVERNMENT PRIMARY SCHOOL","Available","10","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0626","LOWER NAMPHING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0229","LOWER NANDOK GOVERNMENT JUNIOR HIGH SCHOOL","Available","110","Available","2","Available","Available","1","Not Available","Not Available"
"S0609","LOWER NANDUGOAN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0582","LOWER OKHREY GOVERNMENT PRIMARY SCHOOL","Available","31","Available","2","Available","Available","1","Not Available","Not Available"
"S0779","LOWER PARENG GOWN GOVERNMENT PRIMARY SCHOOL","Available","110","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0629","LOWER PERBING GOVERNMENT JUNIOR HIGH SCHOOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0329","LOWER RADHU GOVERNMENT PRIMARY SCHOOL","Available","4","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0587","LOWER RUMBUK GOVERNMENT PRIMARY SCHOOL","Available","56","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0470","LOWER SAMDONG GOVERNMENT SECONDARY SCHOOL (EAST)","Available","500","Available","5","Available","Available","1","Not Available","Not Available"
"S0734","LOWER SANGADORJEE GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0330","LOWER SANGKHU GOVERNMENT PRIMARY SCHOOL","Available","57","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0354","LOWER SAPUNG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0598","LOWER SINGTAM GOVERNMENT PRIMARY SCHOOL","Available","50","Available","2","Available","Available","1","Not Available","Not Available"
